,Frame,Alt,Speed
934,05797,140.0,749.0
935,05803,140.0,747.0
936,05809,140.0,745.0
937,05815,141.0,743.0
938,05821,141.0,741.0
939,05827,141.0,739.0
940,05833,141.0,737.0
941,05839,141.0,735.0
942,05845,141.0,732.0
943,05851,142.0,730.0
944,05857,142.0,728.0
945,05863,142.0,726.0
946,05869,142.0,724.0
947,05875,142.0,722.0
948,05881,142.0,720.0
949,05887,143.0,718.0
950,05893,143.0,716.0
951,05899,143.0,714.0
952,05905,143.0,712.0
953,05911,143.0,710.0
954,05917,143.0,708.0
955,05923,143.0,706.0
956,05929,144.0,704.0
957,05935,144.0,702.0
958,05941,144.0,699.0
959,05947,144.0,698.0
960,05953,144.0,695.0
961,05959,144.0,693.0
962,05965,145.0,691.0
963,05971,145.0,690.0
964,05977,145.0,688.0
965,05983,145.0,686.0
966,05989,145.0,684.0
967,05995,145.0,682.0
968,06001,145.0,679.0
969,06007,146.0,677.0
970,06013,146.0,675.0
971,06019,146.0,673.0
972,06025,146.0,671.0
973,06031,146.0,669.0
974,06037,146.0,667.0
975,06043,146.0,665.0
976,06049,147.0,664.0
977,06055,147.0,661.0
978,06061,147.0,659.0
979,06067,147.0,658.0
980,06073,147.0,656.0
981,06079,147.0,653.0
982,06085,147.0,651.0
983,06091,148.0,649.0
984,06097,148.0,647.0
985,06103,148.0,646.0
986,06109,148.0,643.0
987,06115,148.0,641.0
988,06121,148.0,639.0
989,06127,149.0,637.0
990,06133,149.0,635.0
991,06139,149.0,633.0
992,06145,149.0,631.0
993,06151,149.0,629.0
994,06157,149.0,626.0
995,06163,149.0,624.0
996,06169,149.0,623.0
997,06175,150.0,621.0
998,06181,150.0,619.0
999,06187,150.0,617.0
1000,06193,150.0,615.0
1001,06199,150.0,613.0
1002,06205,150.0,611.0
1003,06211,150.0,609.0
1004,06217,150.0,608.0
1005,06223,150.0,606.0
1006,06229,150.0,604.0
1007,06235,151.0,602.0
1008,06241,151.0,600.0
1009,06247,151.0,598.0
1010,06253,151.0,596.0
1011,06259,151.0,593.0
1012,06265,151.0,591.0
1013,06271,152.0,589.0
1014,06277,152.0,587.0
1015,06283,152.0,585.0
1016,06289,152.0,583.0
1017,06295,152.0,581.0
1018,06301,152.0,579.0
1019,06307,152.0,577.0
1020,06313,152.0,575.0
1021,06319,153.0,573.0
1022,06325,153.0,571.0
1023,06331,153.0,569.0
1024,06337,153.0,567.0
1025,06343,153.0,565.0
1026,06349,153.0,563.0
1027,06355,153.0,561.0
1028,06361,153.0,560.0
1029,06367,154.0,558.0
1030,06373,154.0,556.0
1031,06379,154.0,554.0
1032,06385,154.0,552.0
1033,06391,154.0,550.0
1034,06397,154.0,548.0
1035,06403,154.0,546.0
1036,06409,154.0,544.0
1037,06415,154.0,542.0
1038,06421,155.0,540.0
1039,06427,155.0,538.0
1040,06433,155.0,536.0
1041,06439,155.0,534.0
1042,06445,155.0,533.0
